,Tweets
9,"@ChrJentzsch @tylercowen DAI/RAI-like stablecoins will be fine imo! It's all these new me-too VC-funded ""innovations"" at making stablecoins more ""capital-efficient"" or whatever that keep breaking and will keep breaking more."
0,"Today marks the 10 year anniversary of my first public mention of Bitcoin, and of the day Satoshi disappeared. https://t.co/kI3s1Md3cS"
1,"Securities laws are outdated. 
Needing a license to issue a security token in 2021 is just as dumb as needing a licence to setup a website in 2001."
2,"It took about a decade for crypto to grow to a market cap of $1 trillion, but  took just one quarter to add another trillion."
3,"There is no inflation they say....
https://t.co/K8GOsZM66j https://t.co/3JIF5L5iv1"
4,"Soon everyone will realize that the one megabyte block size limit on BTC was a mistake. Once everyone realizes it, everyone will pretend that they knew it the whole time. #BitcoinCash"
5,Today’s #Bitcoin and #BitcoinCash fees: https://t.co/touN4Lq9kW
6,"""when you give people freedom, you don’t know what they’ll do with it."" - @Free_Ross"
7,"Rather than following sheep, think for yourself."
8,Renouncing your US citizenship is the most American thing you can do: https://t.co/UkYzYq14cz
9,RT @KimDotcom: #Bitcoin has a 40% drop in hashpower because a Chinese mining pool went offline? $BTC fees are skyrocketing to $40 per trans…
0,@bankocbcnisp Kapan pengumuman pemenang hadiah bulanan Program Isi Pulsa Telkomsel ya untuk bilan Januari?
1,I made $399 today check out how I made it! http://t.co/yYtL4u3
2,I made $736 today working a few hour from home ! http://t.co/vJ6Vcrv
3,muhahaha check this out lol xDDDDDDD http://u.nu/6nzpc
4,http://viagractive.com is your one-stop-shop for all your needs on generic drugs. We are a fully licensed online pharmacy
5,i meet my russian wife here http://redhearts.ru-nw.com/  ))))
0,Enjoyed this interview! Thank you @guyraz https://t.co/wJ2fx9RSyr
1,"RT @coinbase: Are you in Ireland, Italy, Germany or Spain?

🥳 Good news! You can now use @Apple Pay to buy crypto on Coinbase."
2,"RT @elonmusk: @Blockworks_ Inflation is the most regressive tax of all, yet is advocated by those who claim to be progressive"
3,"…then make iOS or Android devices auto connect to these routers. 

A startup may be able to do the same (crypto incentives help) and I know several are working on it. But with Apple/Google controlling routers plus phones it would be killer combo."
4,Bandwidth is so under utilized. You’re often within range of many WiFi routers that are password protected but not heavily used. Would be interesting if Apple or Google made a default setting on all routers to “share this internet connection with others while it’s not being used”
5,"Enjoyed shooting this short video with the awesome team at @freethinkmedia 🙏

Also on YouTube here https://t.co/qhCxTLrgZ2 https://t.co/TvSIs4naA5"
6,RT @FEhrsam: https://t.co/a0ahkZ1YWs
7,"Now one of the largest constituents, and growing rapidly https://t.co/WomJMgEnEW"
8,"RT @coinbase: Read our blog to learn more about how we’re working to recognize the vital role of our veterans and service members.

Details…"
9,RT @DavidSacks: Inflation is out of control and the Fed can’t effectively fight it because a rise in interest rates would make US debt serv…
0,"RT @MetaMask: 🔈The struggle's been real. 

We've partnered with @Ledger to improve the experience for our customers🚀

✨We've fixed connecti…"
1,The paradigm shift to a world running on decentralized protocols is in full gear. https://t.co/Aq1zbjCkMs
2,"Congrats to the engineers, product leads, designers, and marketers that helped @infura_io reach 350k developers using their service.  

Bored of your Web2 job? Some of the top projects in the space got started on Infura for free. What's stopping you? https://t.co/SMzJCoSHN0"
3,"@Blockanalia @icebergy_ Andrew, ConsenSys has thousands of tokens on our balance sheet.  ConsenSys is vigorously controlled by its employees, which includes me. And we are driving towards decentralization of several of our projects.  Wen $MASK?  Stay tuned.  Wen objective journalism, ser?"
4,"One more week left to sign up for the @eulerbeats Futura Mixpass. 

https://t.co/4XWToiQeBu

Futura Mixes are unique, algorithmically generated pieces of music and art. 

Who would I want to see do a remix? Sister Nancy and @porterrobinson would be pretty cool"
5,Discord: https://t.co/tI6p4L8X5x
6,Sign-In With Ethereum: https://t.co/tHAis5uhq4
7,Kepler: https://t.co/bw1BeDUcZn
8,SpruceID toolkit: https://t.co/wn1LYTnWIL
9,"With Sign-In With Ethereum, the @spruceid team is already creating a standard that would enable users to access public and private resources from their wallet. They’re just getting started, join their journey."
0,"RT @GoingParabolic: Going Parabolic™ has just secured a bag of #bitcoin at an average price of ~$59,375 per #BTC. Keep Stacking MY PEOPLE!…"
1,"RT @cameron: When the student is ready, #Bitcoin will appear."
2,RT @cameron: Woof! $AMC to accept $SHIB
3,$AMC to accept $SHIB. Hooray! 🐶
4,RT @Gemini: Gemini x MATIC Twitter Live https://t.co/eHo6RgJKog
5,"RT @Gemini: wagbtc (📜,📜)
@ConstitutionDAO https://t.co/LV0m3VAHmR"
6,Another trillion dollar advertisement for bitcoin https://t.co/Voh8ARPKes
7,RT @Gemini: 4/4 Trading for Burn $ASH and SuperRare $RARE will remain exclusively limit-only on our API/FIX and ActiveTrader applications f…
8,"RT @Gemini: 3/4 USD Coin $USDC is also available for custody and trading for the pairs above,❗️except❗️$SGD."
9,"RT @Gemini: 2/4 And on our mobile application and website for $USD, $GBP, $EUR, $CAD, $AUD, $HKD, and $SGD pairs!"
0,The battle for 60K is raging. Spartans HODL the line!
1,"When the student is ready, #Bitcoin will appear."
2,Woof! $AMC to accept $SHIB
3,RT @tyler: $AMC to accept $SHIB. Hooray! 🐶
4,RT @Gemini: Gemini x MATIC Twitter Live https://t.co/eHo6RgJKog
5,RT @tyler: Another trillion dollar advertisement for bitcoin https://t.co/Voh8ARPKes
6,"RT @Gemini: wagbtc (📜,📜)
@ConstitutionDAO https://t.co/LV0m3VAHmR"
7,@FEhrsam @twobitidiot Fantastic! Keep crushing it Fred — onward and upward!
8,"Dear #SHIB army, @Gemini welcomes you. Let's go! 🚀

https://t.co/vorFaiCx8H"
9,"RT @tyler: Dear #SHIB army, @Gemini has answered your call. To the moon! 🚀 https://t.co/xis7J4aWg3"
